J,I_line,I_area,eta_QT,eta_C,delta_QT,delta_C
0.05,0.03331647824713558,0.0076331351455296795,0.5313503674090756,0.5344250874791048,0.0313503674090756,0.03442508747910478
0.1,0.04277342943076615,0.011987200867753189,0.5789975029070243,0.5934385726131267,0.07899750290702434,0.09343857261312671
0.15,0.05447057064915806,0.020270777679397348,0.6479148299835316,0.6850281616575047,0.14791482998353156,0.1850281616575047
0.2,0.07105946875007765,0.0318653824921765,0.7303335728921974,0.8149780115145512,0.23033357289219736,0.3149780115145512
0.224,0.1017883785822509,0.008253270916365426,0.17046644090517368,0.8887421645736034,-0.3295335590948263,0.38874216457360344
0.25,-4.066526918328771,-0.10855618820386907,1.0470331401430166,0.9999999931993772,0.5470331401430166,0.49999999319937716
0.3,-335.30356245535336,-389.13739855577927,1.2875038138540353,nan,0.7875038138540353,nan
0.35,-92.97450213827398,-129.61323251991513,1.7439890001195113,-0.1756562426736152,1.2439890001195113,-0.6756562426736152
0.4,1894.0704917688229,3911.793282325618,2.705546971765268,-0.8993892832701368,2.205546971765268,-1.399389283270137
0.45,830.2814262342349,17579.14458774657,6.0309007862815625,-4.6893593693911635,5.5309007862815625,-5.1893593693911635
0.5,-1507.8909765585122,23770.22803975719,-26.325577540022103,-16.50372724148713,-26.825577540022103,-17.00372724148713
